# alias	slug	raison
# ── P1 · LES 15 LIGNES SANS AUCUN ALIAS — le trou est FRANÇAIS, pas anglais ──
quartier de citron	lemon_wedge	Traduction directe de « Lemon wedge » ; la ligne porte un `unit_grams`, donc elle pèse.
quartiers de citron	lemon_wedge	Pluriel français, écrit tel quel dans une recette.
feuille de laurier	herbs_bay_leaf	Traduction directe de « Bay leaf, dried ».
feuilles de laurier	herbs_bay_leaf	Pluriel français.
laurier	herbs_bay_leaf	Forme nue, la plus fréquente dans une recette française.
paleron de boeuf	beef_chuck	« Beef, chuck, raw » est le paleron. Aujourd'hui la forme nue « paleron » tombe sur `beef_braising` (même énergie, autre ligne).
ciboulette	herbs_chives	Nom français de la ciboulette.
galette de mais	corn_cake	Traduction de « Corn cake (puffed) ».
galettes de mais	corn_cake	Pluriel français.
melange de fruits secs	mixed_nuts	Nom français de « Mixed nuts ».
fruits secs melanges	mixed_nuts	Seconde formulation, même produit.
yaourt de coco	coconut_yogurt	Nom français de « Coconut yogurt, plain ».
yaourt au lait de coco	coconut_yogurt	Formulation d'étiquette, même produit.
tomates en conserve	tinned_tomatoes	Sans cet alias, « en conserve » est coupé comme un CONDITIONNEMENT et la tête « tomates » tombe sur la tomate FRAÎCHE.
tomates pelees	tinned_tomatoes	Les tomates pelées sont vendues en conserve ; même ligne que « tinned tomatoes ».
pain pita complet	pita_wholemeal	Sans cet alias, `complet` est retiré comme modificateur et la forme tombe sur `pita_bread` (raffiné). Le GROUPE change.
pita complet	pita_wholemeal	Même raison, forme courte.
tortilla complete	tortilla_wholemeal	Sans cet alias, `complet` est retiré et la forme tombe sur `white_bread`. Le GROUPE change.
tortillas completes	tortilla_wholemeal	Même raison, au pluriel.
couscous complet	couscous_wholemeal	Sans cet alias, `complet` est retiré et la forme tombe sur `couscous` (raffiné). Le GROUPE change.
oignon rouge	red_onion	Le pluriel « oignons rouges » atteint la ligne, le singulier non : il perd `rouge` et tombe sur l'oignon jaune.
piment moulu	chilli_powder	Sans cet alias, la forme tombe sur `chilli` (piment FRAIS, 44,5 kcal) au lieu de la poudre (282 kcal) : ×6,3 d'énergie.
ground chilli	chilli_powder	Même erreur côté anglais, mesurée : « ground chilli » tombe sur le piment frais.
sel fin	salt	Formulation française courante ; « sel » nu atteint la ligne, « sel fin » non.
pain de ble complet	wholemeal_bread	Formulation française complète de « Wholemeal bread ».
paprika doux	paprika	« paprika fume » atteint la ligne, « paprika doux » non : même épice.
persil plat	herbs_parsley	Le persil plat est du persil ; la forme qualifiée rate.
melange de fruits rouges	mixed_berries	Nom français de « Mixed berries ».
viande hachee de dinde	turkey_mince	Formulation française complète de « Turkey mince » (« dinde hachee » atteint déjà la ligne).
viande hachee de boeuf	beef_mince	Formulation française complète de « Beef mince (5%) » (« boeuf hache » atteint déjà la ligne).
sauce de soja	soy_sauce	Variante française de « sauce soja », qui atteint déjà la ligne.
puree de cacahuete	peanut_butter	Nom français du beurre de cacahuète sans sucre ajouté ; même produit.
cerneaux de noix	walnuts	Les cerneaux sont la partie comestible de la noix ; « Walnuts » est la ligne.
coulis de tomates	passata	Le singulier « coulis de tomate » atteint la ligne, le pluriel non.
galette de ble	tortilla_wrap	Nom français de la tortilla de blé (« Tortilla wrap (wheat) »).
galettes de ble	tortilla_wrap	Pluriel français.
filet de cabillaud	cod	Formulation française usuelle ; « cabillaud » nu atteint la ligne, la forme qualifiée non.
filets de cabillaud	cod	Pluriel français de la même forme.
pates au ble complet	wholewheat_pasta	Formulation française complète ; « pates completes » atteint déjà la ligne.
confiture de cassis	jam	Le corpus écrit « blackcurrant jam » 13 fois et atteint `jam` (moyenne des confitures) ; la forme française doit y arriver aussi.
bifteck	beef_steak	Synonyme français de « steak de boeuf », qui atteint déjà la ligne.
cafe noir	coffee	« black coffee » atteint la ligne 6 fois ; sa traduction non.
# ── P3bis · FORMES ANGLAISES COURANTES QUI RATENT OU SE TROMPENT ──
garbanzo beans	chickpeas_tinned	Nom américain du pois chiche ; « chickpeas » atteint déjà la ligne.
scallions	spring_onion	Nom américain de l'oignon nouveau ; « spring onions » atteint déjà la ligne.
oatmeal	oats	Nom américain des flocons d'avoine ; « rolled oats » atteint déjà la ligne.
capsicum	bell_pepper	Nom australien du poivron ; « bell pepper » atteint déjà la ligne.
pepitas	pumpkin_seeds	Nom courant des graines de courge décortiquées.
sieved tomatoes	passata	Définition même de la passata, écrite en anglais de cuisine.
canned plum tomatoes	tinned_tomatoes	Sans cet alias la forme tombe sur la tomate FRAÎCHE : « plum tomatoes » réduit à « tomatoes ».
panko breadcrumbs	breadcrumbs	Le panko est de la chapelure ; la ligne « Breadcrumbs » est la seule du référentiel.
